"codigo";"municipio";"escola";"modelo";"turmas";"exoticas";"nativas";"exotica_aves";"exotica_invertebrado";"exotica_mamifero";"exotica_peixe";"exotica_reptil";"nativa_aves";"nativa_invertebrado";"nativa_mamifero";"nativa_peixe";"nativa_reptil"
1;"Silvânia";"Particular";1;1;5;2;1;1;1;1;1;1;0;1;0;0
2;"Silvânia";"Particular";1;1;4;3;1;1;1;1;0;1;1;1;0;0
3;"Silvânia";"Particular";1;1;4;3;1;1;1;1;0;1;1;1;0;0
4;"Silvânia";"Particular";1;1;5;2;1;1;1;1;1;1;0;1;0;0
5;"Silvânia";"Particular";2;1;4;4;1;0;1;1;1;1;1;1;0;1
6;"Silvânia";"Particular";2;1;3;3;1;0;1;0;1;1;1;0;0;1
7;"Silvânia";"Particular";2;1;2;3;1;0;1;0;0;1;1;0;0;1
8;"Silvânia";"Particular";3;1;2;3;0;0;0;1;1;1;1;1;0;0
9;"Silvânia";"Particular";3;1;3;3;0;0;1;1;1;0;1;1;1;0
10;"Silvânia";"Particular";3;1;4;4;1;0;1;1;1;1;1;1;1;0
11;"Silvânia";"Particular";3;1;2;3;0;0;0;1;1;1;0;1;1;0
12;"Silvânia";"Particular";4;1;5;2;1;1;1;1;1;0;0;0;1;1
13;"Silvânia";"Particular";4;1;4;3;1;0;1;1;1;0;1;0;1;1
14;"Silvânia";"Particular";4;1;5;2;1;1;1;1;1;0;1;0;1;0
15;"Silvânia";"Pública";1;2;3;2;1;1;1;0;0;1;0;1;0;0
16;"Silvânia";"Pública";1;2;2;2;1;0;1;0;0;1;0;1;0;0
17;"Silvânia";"Pública";1;2;3;2;0;1;1;1;0;1;0;1;0;0
18;"Silvânia";"Pública";1;2;5;3;1;1;1;1;1;1;1;1;0;0
19;"Silvânia";"Pública";1;2;3;2;0;1;1;1;0;1;0;1;0;0
20;"Silvânia";"Pública";1;2;4;3;1;1;1;0;1;1;1;1;0;0
21;"Silvânia";"Pública";1;2;2;3;0;1;0;1;0;1;1;1;0;0
22;"Silvânia";"Pública";1;2;5;2;1;1;1;1;1;1;0;1;0;0
23;"Silvânia";"Pública";1;2;4;4;1;1;1;1;0;1;1;1;0;1
24;"Silvânia";"Pública";1;2;4;2;1;1;1;1;0;1;0;1;0;0
25;"Silvânia";"Pública";1;2;1;3;1;0;0;0;0;1;1;1;0;0
26;"Silvânia";"Pública";1;2;5;2;1;1;1;1;1;1;0;1;0;0
27;"Silvânia";"Pública";1;2;3;2;0;1;1;1;0;1;0;1;0;0
28;"Silvânia";"Pública";1;2;5;2;1;1;1;1;1;1;0;1;0;0
29;"Silvânia";"Pública";1;2;4;2;1;1;1;0;1;1;0;1;0;0
30;"Silvânia";"Pública";1;2;4;2;1;1;1;1;0;1;0;1;0;0
31;"Silvânia";"Pública";1;2;2;3;1;0;1;0;0;1;1;1;0;0
32;"Silvânia";"Pública";1;2;4;3;1;1;1;1;0;1;0;1;0;1
33;"Silvânia";"Pública";2;3;4;4;1;0;1;1;1;1;1;1;0;1
34;"Silvânia";"Pública";2;3;2;3;1;0;0;1;0;1;0;1;0;1
36;"Silvânia";"Pública";2;3;3;4;1;0;1;0;1;1;1;1;0;1
37;"Silvânia";"Pública";2;3;4;4;1;0;1;1;1;1;1;1;0;1
38;"Silvânia";"Pública";2;3;4;3;1;0;1;1;1;1;1;1;0;0
39;"Silvânia";"Pública";2;3;2;3;0;0;1;1;0;1;1;0;0;1
40;"Silvânia";"Pública";2;3;3;4;1;0;1;1;0;1;1;1;0;1
41;"Silvânia";"Pública";2;3;4;2;1;0;1;1;1;1;1;0;0;0
42;"Silvânia";"Pública";2;3;4;3;1;0;1;1;1;1;1;0;0;1
43;"Silvânia";"Pública";2;3;3;4;1;0;1;0;1;1;1;1;0;1
44;"Silvânia";"Pública";2;3;3;5;1;0;1;1;0;1;1;1;1;1
45;"Silvânia";"Pública";2;3;3;3;1;0;1;0;1;1;1;0;0;1
46;"Silvânia";"Pública";2;3;2;4;1;0;1;0;0;1;1;1;0;1
47;"Silvânia";"Pública";2;3;2;4;1;0;1;0;0;1;1;1;0;1
48;"Silvânia";"Pública";2;3;2;4;1;0;1;0;0;1;1;1;0;1
49;"Silvânia";"Pública";2;3;3;4;1;0;1;1;0;1;1;1;0;1
50;"Silvânia";"Pública";2;3;3;4;1;0;1;1;0;1;1;1;0;1
51;"Silvânia";"Pública";2;3;4;3;1;0;1;1;1;1;1;0;0;1
52;"Silvânia";"Pública";3;4;4;5;1;0;1;1;1;1;1;1;1;1
53;"Silvânia";"Pública";3;4;4;4;1;1;0;1;1;1;1;1;0;1
54;"Silvânia";"Pública";3;4;4;4;1;0;1;1;1;1;1;0;1;1
55;"Silvânia";"Pública";3;4;4;3;1;1;0;1;1;1;1;1;0;0
56;"Silvânia";"Pública";3;4;5;5;1;1;1;1;1;1;1;1;1;1
57;"Silvânia";"Pública";3;4;3;4;0;0;1;1;1;1;0;1;1;1
58;"Silvânia";"Pública";3;4;1;4;0;1;0;0;0;1;1;1;1;0
59;"Silvânia";"Pública";3;4;3;3;1;0;1;0;1;1;1;1;0;0
60;"Silvânia";"Pública";3;4;5;5;1;1;1;1;1;1;1;1;1;1
61;"Silvânia";"Pública";3;4;2;4;0;0;0;1;1;1;1;1;1;0
62;"Silvânia";"Pública";3;4;2;4;1;0;0;0;1;1;1;1;0;1
63;"Silvânia";"Pública";3;4;4;1;1;1;1;0;1;0;0;1;0;0
64;"Silvânia";"Pública";3;4;3;3;0;1;0;1;1;1;0;1;1;0
65;"Silvânia";"Pública";3;4;3;3;1;1;1;0;0;1;0;1;1;0
66;"Silvânia";"Pública";3;4;3;4;0;0;1;1;1;1;0;1;1;1
67;"Silvânia";"Pública";3;4;4;4;1;0;1;1;1;0;1;1;1;1
68;"Silvânia";"Pública";3;4;3;5;1;0;1;1;0;1;1;1;1;1
69;"Silvânia";"Pública";3;4;2;3;0;0;0;1;1;1;0;1;1;0
70;"Silvânia";"Pública";4;5;5;2;1;1;1;1;1;0;0;0;1;1
71;"Silvânia";"Pública";4;5;5;2;1;1;1;1;1;0;0;0;1;1
72;"Silvânia";"Pública";4;5;5;3;1;1;1;1;1;0;0;1;1;1
73;"Silvânia";"Pública";4;5;5;3;1;1;1;1;1;0;1;1;1;0
74;"Silvânia";"Pública";4;5;5;3;1;1;1;1;1;0;0;1;1;1
75;"Silvânia";"Pública";4;5;5;3;1;1;1;1;1;0;1;1;1;0
76;"Silvânia";"Pública";4;5;4;3;1;0;1;1;1;0;1;0;1;1
77;"Silvânia";"Pública";4;5;3;2;1;1;0;1;0;0;1;0;0;1
78;"Silvânia";"Pública";4;5;5;3;1;1;1;1;1;0;1;0;1;1
79;"Silvânia";"Pública";4;5;5;4;1;1;1;1;1;0;1;1;1;1
80;"Silvânia";"Pública";4;5;4;1;1;1;1;1;0;0;0;0;1;0
81;"Silvânia";"Pública";4;5;5;2;1;1;1;1;1;0;0;1;1;0
82;"Silvânia";"Pública";4;5;4;2;0;1;1;1;1;0;1;0;1;0
83;"Silvânia";"Pública";4;5;5;3;1;1;1;1;1;0;0;1;1;1
84;"Silvânia";"Pública";4;5;5;3;1;1;1;1;1;0;0;1;1;1
85;"Silvânia";"Pública";4;5;5;2;1;1;1;1;1;0;0;0;1;1
86;"Silvânia";"Particular";1;6;5;2;1;1;1;1;1;1;0;1;0;0
87;"Silvânia";"Particular";1;6;3;2;1;0;1;1;0;1;0;1;0;0
88;"Silvânia";"Particular";1;6;2;4;1;1;0;0;0;1;1;1;1;0
89;"Silvânia";"Particular";1;6;3;3;0;1;1;1;0;1;1;1;0;0
90;"Silvânia";"Particular";1;6;5;2;1;1;1;1;1;1;0;1;0;0
91;"Silvânia";"Particular";1;6;5;2;1;1;1;1;1;1;0;1;0;0
92;"Silvânia";"Particular";1;6;4;2;1;1;1;1;0;1;0;1;0;0
93;"Silvânia";"Particular";1;6;4;3;1;1;1;1;0;1;0;1;0;1
94;"Silvânia";"Particular";1;6;4;2;0;1;1;1;1;1;0;1;0;0
95;"Silvânia";"Particular";1;6;4;1;1;1;1;1;0;0;0;1;0;0
96;"Silvânia";"Particular";1;6;4;3;1;1;1;1;0;1;0;1;0;1
97;"Silvânia";"Particular";1;6;5;2;1;1;1;1;1;1;0;1;0;0
98;"Silvânia";"Particular";1;6;4;3;0;1;1;1;1;1;1;1;0;0
99;"Silvânia";"Particular";1;6;3;3;1;0;1;1;0;1;1;1;0;0
100;"Silvânia";"Particular";1;6;2;1;0;1;0;1;0;0;0;1;0;0
101;"Silvânia";"Particular";1;6;4;3;1;1;1;1;0;1;1;1;0;0
102;"Silvânia";"Particular";1;6;2;1;0;0;1;1;0;0;0;1;0;0
103;"Silvânia";"Particular";1;6;5;3;1;1;1;1;1;1;1;1;0;0
104;"Silvânia";"Particular";1;6;4;2;1;1;1;1;0;1;0;1;0;0
105;"Silvânia";"Particular";1;6;3;2;0;1;1;1;0;1;0;1;0;0
106;"Silvânia";"Particular";1;6;4;3;1;1;1;1;0;1;0;1;0;1
107;"Silvânia";"Particular";1;6;4;3;1;1;0;1;1;1;1;1;0;0
108;"Silvânia";"Particular";1;6;4;3;1;1;1;1;0;1;1;1;0;0
109;"Silvânia";"Particular";1;6;1;2;0;0;1;0;0;1;0;1;0;0
110;"Silvânia";"Particular";1;6;5;2;1;1;1;1;1;0;1;1;0;0
111;"Silvânia";"Particular";1;6;3;3;1;1;1;0;0;1;1;1;0;0
112;"Silvânia";"Particular";1;6;4;4;1;1;1;1;0;1;1;1;0;1
113;"Silvânia";"Particular";2;7;4;4;1;0;1;1;1;1;1;1;0;1
114;"Silvânia";"Particular";2;7;4;4;1;0;1;1;1;1;1;1;0;1
115;"Silvânia";"Particular";2;7;3;4;1;0;1;1;0;1;1;1;0;1
117;"Silvânia";"Particular";2;7;3;2;1;0;1;1;0;1;0;0;0;1
118;"Silvânia";"Particular";2;7;4;3;1;0;1;1;1;1;1;0;0;1
119;"Silvânia";"Particular";2;7;3;3;1;0;1;1;0;1;0;1;0;1
120;"Silvânia";"Particular";2;7;3;3;1;0;1;1;0;1;1;0;1;0
121;"Silvânia";"Particular";2;7;4;4;1;0;1;1;1;1;1;1;0;1
122;"Silvânia";"Particular";2;7;3;4;1;0;1;0;1;1;1;1;0;1
123;"Silvânia";"Particular";2;7;3;3;1;0;1;1;0;1;1;1;0;0
124;"Silvânia";"Particular";2;7;4;4;1;0;1;1;1;1;1;1;0;1
125;"Silvânia";"Particular";2;7;4;4;1;0;1;1;1;1;1;1;0;1
126;"Silvânia";"Particular";2;7;2;3;1;0;1;0;0;1;0;1;0;1
127;"Silvânia";"Particular";2;7;3;4;1;0;1;0;1;1;1;1;0;1
128;"Silvânia";"Particular";2;7;3;4;1;0;1;1;0;1;1;1;0;1
129;"Silvânia";"Particular";2;7;4;4;1;0;1;1;1;1;1;1;0;1
130;"Silvânia";"Particular";2;7;4;3;1;0;1;1;1;1;1;0;0;1
131;"Silvânia";"Particular";2;7;3;4;1;0;1;1;0;1;1;1;0;1
132;"Silvânia";"Particular";2;7;3;4;1;0;1;0;1;1;1;1;0;1
