"codigo";"municipio";"escola";"modelo";"turmas";"sexo";"idade";"temp.residencia";"area";"bairro";"nome.escola";"frequencia";"fez.aula";"flona";"nota";"aula";"exoticas";"nativas";"origem_exoticas";"origem_nativas";"indice_exoticas";"indice_nativas";"exotica_aves";"exotica_invertebrado";"exotica_mamifero";"exotica_peixe";"exotica_reptil";"nativa_aves";"nativa_invertebrado";"nativa_mamifero";"nativa_peixe";"nativa_reptil"
1;"Silvânia";"Particular";1;1;"Feminino";"17";"";"Urbana";"";"Ginásio Anchieta";"Ás vezes";"Sim, parque ou trilha";"Não";3,3;"Sim";5;2;3;4;3;2;1;1;1;1;1;1;0;1;0;0
2;"Silvânia";"Particular";1;1;"Feminino";"17";"17";"Urbana";"pedrinhas";"Ginásio Anchieta";"Ás vezes";"Sim, parque ou trilha";"Sim";5;"Sim";4;3;4;5;4;3;1;1;1;1;0;1;1;1;0;0
3;"Silvânia";"Particular";1;1;"Masculino";"17";"17";"Urbana";"são sebastião 7";"Ginásio Anchieta";"Frequentemente";"Sim, FLONA";"Sim";5,2;"Sim";4;3;4;5;4;3;1;1;1;1;0;1;1;1;0;0
4;"Silvânia";"Particular";1;1;"Masculino";"17";"17";"Urbana";"parque anchieta";"Ginásio Anchieta";"Frequentemente";"Não fez";"Não";2,2;"Não";5;2;3;4;3;2;1;1;1;1;1;1;0;1;0;0
5;"Silvânia";"Particular";2;1;"Feminino";"17";"17";"Rural";"centro";"Ginásio Anchieta";"Frequentemente";"Não fez";"Não";2,6;"Não";4;1;0;5;0;1;1;1;1;1;0;0;0;0;1;0
6;"Silvânia";"Particular";2;1;"Feminino";"17";"15";"Rural";"";"Ginásio Anchieta";"Sempre";"Sim, fazenda";"Não";3;"Sim";2;1;2;4;0;0;1;0;1;0;0;0;0;1;0;0
7;"Silvânia";"Particular";2;1;"Masculino";"18";"3";"Urbana";"res. anhanguera";"Ginásio Anchieta";"Sempre";"Não fez";"Não";1;"Não";3;1;2;5;1;1;1;1;1;0;0;0;0;1;0;0
8;"Silvânia";"Particular";3;1;"Feminino";"16";"8";"Rural";"";"Ginásio Anchieta";"Sempre";"Não fez";"Sim";3,2;"Não";3;2;2;4;1;2;1;0;0;1;1;1;0;0;1;0
9;"Silvânia";"Particular";3;1;"Masculino";"16";"";"Urbana";"anhanguera";"Ginásio Anchieta";"Ás vezes";"Não fez";"Sim";3,3;"Não";4;0;2;3;2;0;1;0;1;1;1;0;0;0;0;0
10;"Silvânia";"Particular";3;1;"Feminino";"17";"17";"Urbana";"Leonides cotrim";"Ginásio Anchieta";"Frequentemente";"Sim, fazenda";"Não";4;"Sim";3;1;3;3;2;1;0;0;1;1;1;1;0;0;0;0
11;"Silvânia";"Particular";3;1;"Masculino";"17";"3,5";"Urbana";"setor sul";"Ginásio Anchieta";"Sempre";"Não fez";"Não";2,7;"Não";2;1;1;3;1;0;0;0;0;1;1;1;0;0;0;0
12;"Silvânia";"Particular";4;1;"Masculino";"16";"16";"Urbana";"";"Ginásio Anchieta";"Frequentemente";"Não fez";"Sim";3,8;"Não";5;2;4;4;4;2;1;1;1;1;1;0;0;0;1;1
13;"Silvânia";"Particular";4;1;"Feminino";"16";"16";"Urbana";"vianopolis";"Ginásio Anchieta";"Raramente";"Sim, zoologico";"Não";2,1;"Sim";4;3;3;4;2;3;1;0;1;1;1;0;1;0;1;1
14;"Silvânia";"Particular";4;1;"Feminino";"17";"17";"Urbana";"são sebastião";"Ginásio Anchieta";"Ás vezes";"Não fez";"Sim";1;"Não";5;2;2;3;2;2;1;1;1;1;1;0;1;0;1;0
