"turmas";"grupo";"origem";"value"
1;"aves";"exotica";0,857142857142857
2;"aves";"exotica";0,777777777777778
3;"aves";"exotica";0,944444444444444
4;"aves";"exotica";0,0555555555555556
5;"aves";"exotica";0,9375
6;"aves";"exotica";0,740740740740741
7;"aves";"exotica";1
8;"aves";"exotica";0,259259259259259
9;"aves";"exotica";0,782608695652174
10;"aves";"exotica";0,863636363636364
11;"aves";"exotica";0,608695652173913
12;"aves";"exotica";0,95
13;"aves";"exotica";0,904761904761905
14;"aves";"exotica";0,133333333333333
15;"aves";"exotica";0,88
16;"aves";"exotica";0,958333333333333
17;"aves";"exotica";0,714285714285714
1;"invertebrado";"exotica";0,571428571428571
2;"invertebrado";"exotica";0,833333333333333
3;"invertebrado";"exotica";0,5
4;"invertebrado";"exotica";0,444444444444444
5;"invertebrado";"exotica";0,9375
6;"invertebrado";"exotica";0,851851851851852
7;"invertebrado";"exotica";0,952380952380952
8;"invertebrado";"exotica";0,37037037037037
9;"invertebrado";"exotica";0,695652173913043
10;"invertebrado";"exotica";0,909090909090909
11;"invertebrado";"exotica";0,739130434782609
12;"invertebrado";"exotica";0,9
13;"invertebrado";"exotica";0,523809523809524
14;"invertebrado";"exotica";0,266666666666667
15;"invertebrado";"exotica";0,76
16;"invertebrado";"exotica";1
17;"invertebrado";"exotica";0,542857142857143
1;"mamifero";"exotica";0,857142857142857
2;"mamifero";"exotica";0,888888888888889
3;"mamifero";"exotica";0,944444444444444
4;"mamifero";"exotica";0,611111111111111
5;"mamifero";"exotica";0,9375
6;"mamifero";"exotica";0,888888888888889
7;"mamifero";"exotica";1
8;"mamifero";"exotica";0,444444444444444
9;"mamifero";"exotica";1
10;"mamifero";"exotica";1
11;"mamifero";"exotica";0,652173913043478
12;"mamifero";"exotica";0,9
13;"mamifero";"exotica";0,80952380952381
14;"mamifero";"exotica";0,4
15;"mamifero";"exotica";1
16;"mamifero";"exotica";1
17;"mamifero";"exotica";0,8
1;"peixe";"exotica";0,857142857142857
2;"peixe";"exotica";0,666666666666667
3;"peixe";"exotica";0,666666666666667
4;"peixe";"exotica";0,722222222222222
5;"peixe";"exotica";1
6;"peixe";"exotica";0,888888888888889
7;"peixe";"exotica";0,80952380952381
8;"peixe";"exotica";0,925925925925926
9;"peixe";"exotica";0,91304347826087
10;"peixe";"exotica";0,727272727272727
11;"peixe";"exotica";0,91304347826087
12;"peixe";"exotica";0,8
13;"peixe";"exotica";0,761904761904762
14;"peixe";"exotica";0,8
15;"peixe";"exotica";0,96
16;"peixe";"exotica";0,958333333333333
17;"peixe";"exotica";0,857142857142857
1;"reptil";"exotica";0,642857142857143
2;"reptil";"exotica";0,333333333333333
3;"reptil";"exotica";0,166666666666667
4;"reptil";"exotica";0,833333333333333
5;"reptil";"exotica";0,875
6;"reptil";"exotica";0,333333333333333
7;"reptil";"exotica";0,238095238095238
8;"reptil";"exotica";0,925925925925926
9;"reptil";"exotica";0,826086956521739
10;"reptil";"exotica";0,227272727272727
11;"reptil";"exotica";1
12;"reptil";"exotica";0,35
13;"reptil";"exotica";0,238095238095238
14;"reptil";"exotica";0,933333333333333
15;"reptil";"exotica";0,88
16;"reptil";"exotica";0,583333333333333
17;"reptil";"exotica";0,542857142857143
1;"aves";"nativa";0,5
2;"aves";"nativa";1
3;"aves";"nativa";0
4;"aves";"nativa";0,888888888888889
5;"aves";"nativa";0
6;"aves";"nativa";0,851851851851852
7;"aves";"nativa";0
8;"aves";"nativa";0,814814814814815
9;"aves";"nativa";0
10;"aves";"nativa";0,5
11;"aves";"nativa";0,478260869565217
12;"aves";"nativa";0,85
13;"aves";"nativa";0,571428571428571
14;"aves";"nativa";1
15;"aves";"nativa";0
16;"aves";"nativa";0,416666666666667
17;"aves";"nativa";0,714285714285714
1;"invertebrado";"nativa";0,285714285714286
2;"invertebrado";"nativa";0,333333333333333
3;"invertebrado";"nativa";0,0555555555555556
4;"invertebrado";"nativa";0,166666666666667
5;"invertebrado";"nativa";0,4375
6;"invertebrado";"nativa";0,407407407407407
7;"invertebrado";"nativa";0,0952380952380952
8;"invertebrado";"nativa";0,037037037037037
9;"invertebrado";"nativa";0,391304347826087
10;"invertebrado";"nativa";0,0909090909090909
11;"invertebrado";"nativa";0,347826086956522
12;"invertebrado";"nativa";0,3
13;"invertebrado";"nativa";0
14;"invertebrado";"nativa";0,0666666666666667
15;"invertebrado";"nativa";0,48
16;"invertebrado";"nativa";0,5
17;"invertebrado";"nativa";0,2
1;"mamifero";"nativa";0,428571428571429
2;"mamifero";"nativa";1
3;"mamifero";"nativa";0,277777777777778
4;"mamifero";"nativa";0
5;"mamifero";"nativa";0,5
6;"mamifero";"nativa";1
7;"mamifero";"nativa";0,19047619047619
8;"mamifero";"nativa";0
9;"mamifero";"nativa";0,434782608695652
10;"mamifero";"nativa";0,545454545454545
11;"mamifero";"nativa";0,130434782608696
12;"mamifero";"nativa";0,95
13;"mamifero";"nativa";0,333333333333333
14;"mamifero";"nativa";0
15;"mamifero";"nativa";0,16
16;"mamifero";"nativa";0,666666666666667
17;"mamifero";"nativa";0,285714285714286
1;"peixe";"nativa";0,357142857142857
2;"peixe";"nativa";0
3;"peixe";"nativa";0
4;"peixe";"nativa";0,111111111111111
5;"peixe";"nativa";0,9375
6;"peixe";"nativa";0,037037037037037
7;"peixe";"nativa";0,19047619047619
8;"peixe";"nativa";0,148148148148148
9;"peixe";"nativa";0,869565217391304
10;"peixe";"nativa";0,0454545454545455
11;"peixe";"nativa";0,478260869565217
12;"peixe";"nativa";0,15
13;"peixe";"nativa";0,0476190476190476
14;"peixe";"nativa";0,2
15;"peixe";"nativa";0,72
16;"peixe";"nativa";0,333333333333333
17;"peixe";"nativa";0,371428571428571
1;"reptil";"nativa";0,142857142857143
2;"reptil";"nativa";0,111111111111111
3;"reptil";"nativa";0,111111111111111
4;"reptil";"nativa";0,555555555555556
5;"reptil";"nativa";0,6875
6;"reptil";"nativa";0,148148148148148
7;"reptil";"nativa";0
8;"reptil";"nativa";0,62962962962963
9;"reptil";"nativa";0,782608695652174
10;"reptil";"nativa";0,136363636363636
11;"reptil";"nativa";0,956521739130435
12;"reptil";"nativa";0,1
13;"reptil";"nativa";0,0476190476190476
14;"reptil";"nativa";0,6
15;"reptil";"nativa";0,72
16;"reptil";"nativa";0,416666666666667
17;"reptil";"nativa";0,428571428571429
