"turma";"alunos";"acertos.esperados";"tg.nome.nativo";"tg.nome.exotico";"tg.origem.nativo";"tg.origem.exotico";"tg.indice.nativo";"tg.indice.exotico";"tg.ave.nat";"tg.ave.exo";"tg.inv.nat";"tg.inv.exo";"tg.mam.nat";"tg.mam.exo";"tg.pei.nat";"tg.pei.exo";"tg.rep.nat";"tg.rep.exo";"p.nome.nativo";"p.nome.exotico";"p.origem.nativo";"p.origem.exotico";"p.indice.nativo";"p.indice.exotico";"p.ave.nat";"p.ave.exo";"p.inv.nat";"p.inv.exo";"p.mam.nat";"p.mam.exo";"p.pei.nat";"p.pei.exo";"p.rep.nat";"p.rep.exo"
1;36;180;137;131;138;110;112;94;27;14;17;13;26;26;18;25;24;16;0,761111111111111;0,727777777777778;0,766666666666667;0,611111111111111;0,622222222222222;0,522222222222222;0,75;0,388888888888889;0,472222222222222;0,361111111111111;0,722222222222222;0,722222222222222;0,5;0,694444444444444;0,666666666666667;0,444444444444444
2;25;125;87;86;89;76;68;63;19;10;7;12;15;18;12;13;15;10;0,696;0,688;0,712;0,608;0,544;0,504;0,76;0,4;0,28;0,48;0,6;0,72;0,48;0,52;0,6;0,4
3;37;185;139;133;145;100;115;81;29;14;12;12;26;20;26;17;22;18;0,751351351351351;0,718918918918919;0,783783783783784;0,540540540540541;0,621621621621622;0,437837837837838;0,783783783783784;0,378378378378378;0,324324324324324;0,324324324324324;0,702702702702703;0,540540540540541;0,702702702702703;0,459459459459459;0,594594594594595;0,486486486486487
4;25;125;92;101;97;77;77;69;20;16;11;9;20;20;10;15;16;9;0,736;0,808;0,776;0,616;0,616;0,552;0,8;0,64;0,44;0,36;0,8;0,8;0,4;0,6;0,64;0,36
5;31;155;119;117;122;95;104;83;29;12;12;15;22;24;16;19;25;13;0,767741935483871;0,754838709677419;0,787096774193548;0,612903225806452;0,670967741935484;0,535483870967742;0,935483870967742;0,387096774193548;0,387096774193548;0,483870967741935;0,709677419354839;0,774193548387097;0,516129032258065;0,612903225806452;0,806451612903226;0,419354838709677
6;28;140;103;100;106;94;82;81;18;11;11;13;20;20;16;23;17;14;0,735714285714286;0,714285714285714;0,757142857142857;0,671428571428571;0,585714285714286;0,578571428571429;0,642857142857143;0,392857142857143;0,392857142857143;0,464285714285714;0,714285714285714;0,714285714285714;0,571428571428571;0,821428571428571;0,607142857142857;0,5
7;23;115;71;84;85;71;60;60;19;10;7;9;15;15;7;14;12;12;0,617391304347826;0,730434782608696;0,739130434782609;0,617391304347826;0,521739130434783;0,521739130434783;0,826086956521739;0,434782608695652;0,304347826086957;0,391304347826087;0,652173913043478;0,652173913043478;0,304347826086957;0,608695652173913;0,521739130434783;0,521739130434783
8;21;105;68;71;77;65;57;50;15;8;12;8;14;17;5;10;11;7;0,647619047619048;0,676190476190476;0,733333333333333;0,619047619047619;0,542857142857143;0,476190476190476;0,714285714285714;0,380952380952381;0,571428571428571;0,380952380952381;0,666666666666667;0,80952380952381;0,238095238095238;0,476190476190476;0,523809523809524;0,333333333333333
9;35;175;125;117;135;107;107;90;30;18;15;10;26;26;17;20;19;16;0,714285714285714;0,668571428571429;0,771428571428571;0,611428571428571;0,611428571428571;0,514285714285714;0,857142857142857;0,514285714285714;0,428571428571429;0,285714285714286;0,742857142857143;0,742857142857143;0,485714285714286;0,571428571428571;0,542857142857143;0,457142857142857
10;46;230;171;169;175;163;144;138;36;24;23;25;35;35;21;34;29;20;0,743478260869565;0,734782608695652;0,760869565217391;0,708695652173913;0,626086956521739;0,6;0,782608695652174;0,521739130434783;0,5;0,543478260869565;0,760869565217391;0,760869565217391;0,456521739130435;0,739130434782609;0,630434782608696;0,434782608695652
11;41;205;125;137;146;124;101;102;27;16;18;15;23;32;12;22;21;17;0,609756097560976;0,668292682926829;0,712195121951219;0,604878048780488;0,492682926829268;0,497560975609756;0,658536585365854;0,390243902439024;0,439024390243902;0,365853658536585;0,560975609756098;0,780487804878049;0,292682926829268;0,536585365853659;0,51219512195122;0,414634146341463
12;32;160;104;119;110;97;80;84;23;15;10;16;20;23;14;20;13;10;0,65;0,74375;0,6875;0,60625;0,5;0,525;0,71875;0,46875;0,3125;0,5;0,625;0,71875;0,4375;0,625;0,40625;0,3125
13;34;170;104;119;129;104;89;91;21;16;10;17;26;24;15;20;17;14;0,611764705882353;0,7;0,758823529411765;0,611764705882353;0,523529411764706;0,535294117647059;0,617647058823529;0,470588235294118;0,294117647058824;0,5;0,764705882352941;0,705882352941177;0,441176470588235;0,588235294117647;0,5;0,411764705882353
14;23;115;74;84;81;68;60;59;18;12;7;10;16;13;5;14;14;10;0,643478260869565;0,730434782608696;0,704347826086957;0,591304347826087;0,521739130434783;0,51304347826087;0,782608695652174;0,521739130434783;0,304347826086957;0,434782608695652;0,695652173913043;0,565217391304348;0,217391304347826;0,608695652173913;0,608695652173913;0,434782608695652
15;45;225;154;167;186;149;128;129;34;19;20;26;34;35;12;31;28;18;0,684444444444444;0,742222222222222;0,826666666666667;0,662222222222222;0,568888888888889;0,573333333333333;0,755555555555556;0,422222222222222;0,444444444444444;0,577777777777778;0,755555555555556;0,777777777777778;0,266666666666667;0,688888888888889;0,622222222222222;0,4
16;27;135;97;97;103;99;81;85;22;17;11;12;19;21;10;23;19;12;0,718518518518519;0,718518518518519;0,762962962962963;0,733333333333333;0,6;0,62962962962963;0,814814814814815;0,62962962962963;0,407407407407407;0,444444444444444;0,703703703703704;0,777777777777778;0,37037037037037;0,851851851851852;0,703703703703704;0,444444444444444
