"turmas";"especie";"tipo";"value"
1;"aves";"exotica";1
1;"aves";"exotica";1
1;"aves";"exotica";1
1;"aves";"exotica";1
1;"aves";"exotica";1
1;"aves";"exotica";1
1;"aves";"exotica";1
1;"aves";"exotica";0
1;"aves";"exotica";0
1;"aves";"exotica";1
1;"aves";"exotica";0
1;"aves";"exotica";1
1;"aves";"exotica";1
1;"aves";"exotica";1
2;"aves";"exotica";1
2;"aves";"exotica";1
2;"aves";"exotica";0
2;"aves";"exotica";1
2;"aves";"exotica";0
2;"aves";"exotica";1
2;"aves";"exotica";0
2;"aves";"exotica";1
2;"aves";"exotica";1
2;"aves";"exotica";1
2;"aves";"exotica";1
2;"aves";"exotica";1
2;"aves";"exotica";0
2;"aves";"exotica";1
2;"aves";"exotica";1
2;"aves";"exotica";1
2;"aves";"exotica";1
2;"aves";"exotica";1
3;"aves";"exotica";1
3;"aves";"exotica";1
3;"aves";"exotica";1
3;"aves";"exotica";1
3;"aves";"exotica";1
3;"aves";"exotica";0
3;"aves";"exotica";1
3;"aves";"exotica";1
3;"aves";"exotica";1
3;"aves";"exotica";1
3;"aves";"exotica";1
3;"aves";"exotica";1
3;"aves";"exotica";1
3;"aves";"exotica";1
3;"aves";"exotica";1
3;"aves";"exotica";1
3;"aves";"exotica";1
3;"aves";"exotica";1
4;"aves";"exotica";1
4;"aves";"exotica";1
4;"aves";"exotica";1
4;"aves";"exotica";1
4;"aves";"exotica";1
4;"aves";"exotica";0
4;"aves";"exotica";0
4;"aves";"exotica";1
4;"aves";"exotica";1
4;"aves";"exotica";0
4;"aves";"exotica";1
4;"aves";"exotica";1
4;"aves";"exotica";0
4;"aves";"exotica";1
4;"aves";"exotica";0
4;"aves";"exotica";1
4;"aves";"exotica";1
4;"aves";"exotica";0
5;"aves";"exotica";1
5;"aves";"exotica";1
5;"aves";"exotica";1
5;"aves";"exotica";1
5;"aves";"exotica";1
5;"aves";"exotica";1
5;"aves";"exotica";1
5;"aves";"exotica";1
5;"aves";"exotica";1
5;"aves";"exotica";1
5;"aves";"exotica";1
5;"aves";"exotica";1
5;"aves";"exotica";0
5;"aves";"exotica";1
5;"aves";"exotica";1
5;"aves";"exotica";1
6;"aves";"exotica";1
6;"aves";"exotica";1
6;"aves";"exotica";1
6;"aves";"exotica";0
6;"aves";"exotica";1
6;"aves";"exotica";1
6;"aves";"exotica";1
6;"aves";"exotica";1
6;"aves";"exotica";0
6;"aves";"exotica";1
6;"aves";"exotica";1
6;"aves";"exotica";1
6;"aves";"exotica";0
6;"aves";"exotica";1
6;"aves";"exotica";0
6;"aves";"exotica";1
6;"aves";"exotica";0
6;"aves";"exotica";1
6;"aves";"exotica";1
6;"aves";"exotica";0
6;"aves";"exotica";1
6;"aves";"exotica";1
6;"aves";"exotica";1
6;"aves";"exotica";0
6;"aves";"exotica";1
6;"aves";"exotica";1
6;"aves";"exotica";1
7;"aves";"exotica";1
7;"aves";"exotica";1
7;"aves";"exotica";1
7;"aves";"exotica";1
7;"aves";"exotica";1
7;"aves";"exotica";1
7;"aves";"exotica";1
7;"aves";"exotica";1
7;"aves";"exotica";1
7;"aves";"exotica";1
7;"aves";"exotica";1
7;"aves";"exotica";1
7;"aves";"exotica";1
7;"aves";"exotica";1
7;"aves";"exotica";1
7;"aves";"exotica";1
7;"aves";"exotica";1
7;"aves";"exotica";1
7;"aves";"exotica";1
7;"aves";"exotica";1
7;"aves";"exotica";1
8;"aves";"exotica";1
8;"aves";"exotica";0
8;"aves";"exotica";0
8;"aves";"exotica";1
8;"aves";"exotica";1
